doc_id,origin_path,format,extracted_path,lang,words,char_count,timestamp
doc_24,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14126433.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_24.txt,en,823,6384,2026-02-24T22:22:44.411563
doc_25,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14224370.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_25.txt,en,425,3174,2026-02-24T22:22:44.717582
doc_26,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14449423.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_26.txt,en,982,7580,2026-02-24T22:22:45.601835
doc_27,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14470533.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_27.txt,en,838,6416,2026-02-24T22:22:46.098576
doc_28,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14491649.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_28.txt,en,743,5637,2026-02-24T22:22:46.579680
doc_29,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\14496667.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_29.txt,en,681,5097,2026-02-24T22:22:47.053746
doc_30,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\15289348.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_30.txt,en,1201,8629,2026-02-24T22:22:48.026458
doc_31,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\15363277.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_31.txt,en,928,6743,2026-02-24T22:22:48.541290
doc_32,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\15592167.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_32.txt,en,687,5104,2026-02-24T22:22:49.211732
doc_33,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\15821633.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_33.txt,en,862,6474,2026-02-24T22:22:49.751424
doc_34,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\15906625.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_34.txt,en,775,5787,2026-02-24T22:22:50.338760
